 NOMBRE : yao-westjordan-L
 COMENTARIO : Yao et al. (2021) TR-B proxy (see scripts/generate_yao_existing_dat.py)
 VERTICES : 133
 ARISTAS_REQ : 45
 ARISTAS_NOREQ : 265
 VEHICULOS : 7
 CAPACIDAD : 300
 TIPO_COSTES_ARISTAS : EXPLICITOS 
 COSTE_TOTAL_REQ : 24567
 LISTA_ARISTAS_REQ :
 ( 13, 22)   coste 694   demanda 50
 ( 41, 88)   coste 124   demanda 51
 ( 49, 88)   coste 60   demanda 51
 ( 34, 127)   coste 540   demanda 50
 ( 41, 92)   coste 862   demanda 46
 ( 46, 88)   coste 144   demanda 53
 ( 49, 92)   coste 841   demanda 58
 ( 88, 109)   coste 220   demanda 45
 ( 3, 13)   coste 420   demanda 47
 ( 13, 43)   coste 203   demanda 49
 ( 22, 46)   coste 738   demanda 43
 ( 32, 92)   coste 469   demanda 52
 ( 32, 112)   coste 340   demanda 44
 ( 34, 94)   coste 263   demanda 52
 ( 41, 69)   coste 1010   demanda 45
 ( 41, 133)   coste 632   demanda 52
 ( 46, 101)   coste 522   demanda 50
 ( 49, 100)   coste 693   demanda 48
 ( 49, 105)   coste 599   demanda 53
 ( 69, 77)   coste 902   demanda 52
 ( 77, 100)   coste 691   demanda 53
 ( 77, 105)   coste 830   demanda 54
 ( 82, 92)   coste 895   demanda 44
 ( 101, 112)   coste 270   demanda 49
 ( 109, 127)   coste 328   demanda 57
 ( 13, 107)   coste 765   demanda 49
 ( 13, 111)   coste 313   demanda 45
 ( 22, 94)   coste 626   demanda 46
 ( 25, 49)   coste 868   demanda 46
 ( 30, 41)   coste 557   demanda 50
 ( 32, 71)   coste 494   demanda 52
 ( 34, 48)   coste 505   demanda 52
 ( 35, 49)   coste 843   demanda 56
 ( 46, 94)   coste 868   demanda 52
 ( 49, 83)   coste 713   demanda 49
 ( 80, 109)   coste 280   demanda 53
 ( 105, 112)   coste 503   demanda 52
 ( 10, 112)   coste 862   demanda 52
 ( 13, 17)   coste 171   demanda 49
 ( 13, 124)   coste 164   demanda 47
 ( 22, 120)   coste 439   demanda 48
 ( 23, 49)   coste 571   demanda 43
 ( 26, 34)   coste 421   demanda 52
 ( 27, 34)   coste 683   demanda 47
 ( 29, 32)   coste 631   demanda 51
 LISTA_ARISTAS_NOREQ :
 ( 1, 15)   coste 517
 ( 1, 23)   coste 307
 ( 1, 30)   coste 384
 ( 1, 94)   coste 450
 ( 1, 133)   coste 447
 ( 2, 64)   coste 586
 ( 2, 100)   coste 550
 ( 3, 16)   coste 204
 ( 3, 30)   coste 435
 ( 3, 76)   coste 278
 ( 3, 83)   coste 367
 ( 3, 107)   coste 376
 ( 4, 5)   coste 407
 ( 4, 60)   coste 219
 ( 4, 71)   coste 391
 ( 4, 76)   coste 303
 ( 4, 110)   coste 756
 ( 5, 77)   coste 485
 ( 5, 104)   coste 559
 ( 5, 122)   coste 374
 ( 6, 29)   coste 817
 ( 6, 37)   coste 970
 ( 6, 75)   coste 402
 ( 6, 89)   coste 190
 ( 6, 123)   coste 461
 ( 7, 116)   coste 806
 ( 7, 127)   coste 872
 ( 7, 128)   coste 590
 ( 8, 43)   coste 526
 ( 8, 119)   coste 530
 ( 8, 129)   coste 786
 ( 9, 60)   coste 431
 ( 9, 61)   coste 467
 ( 9, 70)   coste 825
 ( 9, 88)   coste 492
 ( 10, 66)   coste 374
 ( 10, 100)   coste 355
 ( 10, 119)   coste 389
 ( 10, 126)   coste 357
 ( 10, 133)   coste 291
 ( 11, 21)   coste 510
 ( 11, 48)   coste 741
 ( 11, 90)   coste 564
 ( 11, 115)   coste 662
 ( 11, 119)   coste 556
 ( 12, 14)   coste 918
 ( 12, 25)   coste 611
 ( 12, 68)   coste 881
 ( 13, 24)   coste 791
 ( 13, 85)   coste 519
 ( 13, 108)   coste 300
 ( 14, 17)   coste 848
 ( 14, 30)   coste 497
 ( 14, 36)   coste 489
 ( 14, 95)   coste 842
 ( 15, 52)   coste 777
 ( 15, 105)   coste 364
 ( 16, 65)   coste 523
 ( 16, 97)   coste 325
 ( 17, 38)   coste 109
 ( 17, 99)   coste 1116
 ( 18, 55)   coste 843
 ( 18, 83)   coste 84
 ( 18, 108)   coste 771
 ( 19, 22)   coste 205
 ( 19, 79)   coste 678
 ( 20, 46)   coste 834
 ( 20, 69)   coste 815
 ( 20, 129)   coste 834
 ( 21, 26)   coste 286
 ( 21, 39)   coste 498
 ( 21, 120)   coste 641
 ( 21, 124)   coste 551
 ( 22, 53)   coste 714
 ( 22, 121)   coste 428
 ( 22, 131)   coste 200
 ( 23, 30)   coste 87
 ( 23, 91)   coste 480
 ( 23, 129)   coste 555
 ( 24, 67)   coste 112
 ( 24, 98)   coste 176
 ( 25, 61)   coste 759
 ( 25, 75)   coste 950
 ( 25, 89)   coste 839
 ( 25, 117)   coste 419
 ( 26, 39)   coste 736
 ( 26, 109)   coste 754
 ( 26, 123)   coste 661
 ( 27, 119)   coste 526
 ( 27, 124)   coste 906
 ( 27, 127)   coste 1205
